"iso3","year","tax_to_gdp","real_gdp_growth","real_gdp_capita","trade_open","industry_value_gdp","natural_rent_gdp","nomina_gdp","total_aid_gdp","loan_gdp","grant_gdp","aid_dist","aid_col","cross"
"FSM",2000,NA,4.833903786,2894.64294,90.58883243,8.182514989,0.007464106,233271800,41.7410077000306,-0.0214342239396275,22.3516087242436,6.76336033252548,36313.671877,51439.063376
"FSM",2019,NA,1.20028899,2921.881814,84.89971833,4.864130475,NA,408060600,24.5576269799143,-0.323481365267806,20.3254124509938,6.76336033252548,36313.671877,51439.063376
"FSM",2002,NA,0.546997672,2984.066221,89.81441316,6.786900063,0.009733101,242517200,45.7080982297338,NA,21.7427877280457,6.76336033252548,36313.671877,51439.063376
"FSM",1995,NA,7.014464845,2908.253799,91.49147039,6.857623571,0.015905843,221575300,33.5912892817927,NA,33.1941331005757,6.76336033252548,36313.671877,51439.063376
"FSM",1996,NA,-3.182371519,2795.529107,102.0769242,7.576325407,0.017143749,218534700,0.681813917881234,NA,51.5661814805612,6.76336033252548,36313.671877,51439.063376
"FSM",2010,NA,2.259389956,3084.75391,105.8136531,7.235469572,0.027273282,296944100,22.8494184595687,-0.202058232509082,43.119226817438,6.76336033252548,36313.671877,51439.063376
"FSM",2013,NA,-3.679767791,2923.359712,113.2613463,7.306225695,0.026521777,317214400,32.0414205660273,5.98018248856294,33.4757816795202,6.76336033252548,36313.671877,51439.063376
"FSM",2011,NA,3.188574755,3166.743858,106.9046224,8.162566463,0.035425434,311301600,235.356965720703,-0.208800725727076,41.965733552285,6.76336033252548,36313.671877,51439.063376
"FSM",2001,NA,2.167602441,2963.872185,95.73205727,8.253693703,0.00857109,240970900,20.5335997002128,-0.15769538977528,56.3470526939145,6.76336033252548,36313.671877,51439.063376
"FSM",2014,NA,-2.305775745,2815.497529,105.8599711,6.030077251,0.040600328,319271200,137.068423334144,0.303816943087883,30.8671749910421,6.76336033252548,36313.671877,51439.063376
"FSM",2006,NA,-0.081055293,3042.158192,95.32242994,4.054556663,0.012487273,253541900,39.2637272182625,0.26820024619205,40.1117132907815,6.76336033252548,36313.671877,51439.063376
"FSM",2018,NA,0.2116536,2917.242219,100.8514618,4.866441438,0.016321881,401932300,-383.65416265376,4.96103448267283,12.3055549404713,6.76336033252548,36313.671877,51439.063376
"FSM",2006,NA,-0.081055293,3042.158192,95.32242994,4.054556663,0.012487273,253541900,42.2257622901777,0.26820024619205,40.1117132907815,6.76336033252548,36313.671877,51439.063376
"FSM",2016,NA,0.900180417,2897.417594,100.6350349,6.046946836,0.036049623,332265200,230.791548437814,-0.424359818602731,13.3778680403485,6.76336033252548,36313.671877,51439.063376
"FSM",2007,NA,-1.836185294,3012.947104,98.67244162,3.15019596,0.018908833,256787200,49.9908095107544,-0.221973680931137,45.8278294245196,6.76336033252548,36313.671877,51439.063376
"FSM",2007,NA,-1.836185294,3012.947104,98.67244162,3.15019596,0.018908833,256787200,49.9908095107544,-0.221973680931137,43.5029471873987,6.76336033252548,36313.671877,51439.063376
"FSM",1996,NA,-3.182371519,2795.529107,102.0769242,7.576325407,0.017143749,218534700,0.681813917881234,NA,0.713845444224647,6.76336033252548,36313.671877,51439.063376
"FSM",2016,NA,0.900180417,2897.417594,100.6350349,6.046946836,0.036049623,332265200,230.791548437814,1.92918187038546,25.9611900373557,6.76336033252548,36313.671877,51439.063376
"FSM",2013,NA,-3.679767791,2923.359712,113.2613463,7.306225695,0.026521777,317214400,32.0414205660273,-0.204908730498994,33.4757816795202,6.76336033252548,36313.671877,51439.063376
"FSM",2004,NA,-3.080153047,2948.723517,93.71763599,6.118858123,0.01652024,240236000,29.067250536972,0.666011755107478,29.6375231022828,6.76336033252548,36313.671877,51439.063376
"FSM",2018,NA,0.2116536,2917.242219,100.8514618,4.866441438,0.016321881,401932300,12.9897497663164,-0.345829384699861,19.622707605236,6.76336033252548,36313.671877,51439.063376
"FSM",2018,NA,0.2116536,2917.242219,100.8514618,4.866441438,0.016321881,401932300,-383.65416265376,4.96103448267283,19.622707605236,6.76336033252548,36313.671877,51439.063376
"FSM",2012,NA,-1.866819755,3076.165405,111.3589145,8.338153826,0.02804107,327248700,45.9069814486658,-0.186402573944526,36.8588171626045,6.76336033252548,36313.671877,51439.063376
"FSM",2013,NA,-3.679767791,2923.359712,113.2613463,7.306225695,0.026521777,317214400,32.0414205660273,-0.204908730498994,39.1690919453846,6.76336033252548,36313.671877,51439.063376
"FSM",2017,NA,2.682185944,2941.873325,101.0242542,5.429425298,0.038531974,366666800,24.7799909890942,0.782726988099277,25.9881723679373,6.76336033252548,36313.671877,51439.063376
"FSM",2016,NA,0.900180417,2897.417594,100.6350349,6.046946836,0.036049623,332265200,29.7954766252981,-0.424359818602731,25.9611900373557,6.76336033252548,36313.671877,51439.063376
"FSM",2016,NA,0.900180417,2897.417594,100.6350349,6.046946836,0.036049623,332265200,29.7954766252981,1.92918187038546,13.3778680403485,6.76336033252548,36313.671877,51439.063376
"FSM",2016,NA,0.900180417,2897.417594,100.6350349,6.046946836,0.036049623,332265200,29.7954766252981,-0.424359818602731,13.3778680403485,6.76336033252548,36313.671877,51439.063376
"FSM",1997,NA,-6.060937437,2622.171872,106.1682855,7.050699742,0.016846604,206626300,30.7076107930113,-0.00967930994263557,40.87572588775,6.76336033252548,36313.671877,51439.063376
"FSM",2008,NA,-2.408492587,2965.738151,109.2894757,3.759256775,0.031993485,263145100,49.4936063791422,-0.235611455428963,34.6310837632926,6.76336033252548,36313.671877,51439.063376
"FSM",1999,NA,1.37443839,2751.844495,94.73895081,7.853257352,0.007072322,220140500,22.912639882257,-0.0227127675280105,22.8944696682346,6.76336033252548,36313.671877,51439.063376
"FSM",2015,NA,4.621884004,2906.617012,105.2964723,6.113275653,0.032192135,316489900,41.4357614571587,-0.0347562434061877,25.3309821261279,6.76336033252548,36313.671877,51439.063376
"FSM",1998,NA,2.85051586,2703.571983,101.2554763,8.152166712,0.012989516,218873100,33.9968685050835,-0.0182754299180667,21.6015581631548,6.76336033252548,36313.671877,51439.063376
"FSM",1999,NA,1.37443839,2751.844495,94.73895081,7.853257352,0.007072322,220140500,22.912639882257,-0.0227127675280105,46.7565032331625,6.76336033252548,36313.671877,51439.063376
"FSM",2002,NA,0.546997672,2984.066221,89.81441316,6.786900063,0.009733101,242517200,21.5036294332938,NA,45.6586172032334,6.76336033252548,36313.671877,51439.063376
"FSM",2016,NA,0.900180417,2897.417594,100.6350349,6.046946836,0.036049623,332265200,29.7954766252981,1.92918187038546,25.9611900373557,6.76336033252548,36313.671877,51439.063376
"FSM",2017,NA,2.682185944,2941.873325,101.0242542,5.429425298,0.038531974,366666800,150.58358160597,-0.436363477686008,24.8481727824826,6.76336033252548,36313.671877,51439.063376
"FSM",2003,NA,1.572115067,3034.523286,94.79352605,6.637007508,0.014273412,245432900,21.8348884766468,NA,45.7436635430702,6.76336033252548,36313.671877,51439.063376
"FSM",2010,NA,2.259389956,3084.75391,105.8136531,7.235469572,0.027273282,296944100,41.2097765202272,-0.202058232509082,21.4754224785069,6.76336033252548,36313.671877,51439.063376
"FSM",2002,NA,0.546997672,2984.066221,89.81441316,6.786900063,0.009733101,242517200,21.5036294332938,NA,21.7427877280457,6.76336033252548,36313.671877,51439.063376
"FSM",2019,NA,1.20028899,2921.881814,84.89971833,4.864130475,NA,408060600,-275.005722189302,-0.323481365267806,20.3254124509938,6.76336033252548,36313.671877,51439.063376
"FSM",1998,NA,2.85051586,2703.571983,101.2554763,8.152166712,0.012989516,218873100,21.9670667615162,-0.0182754299180667,33.6633419090788,6.76336033252548,36313.671877,51439.063376
"FSM",2009,NA,1.093099241,3014.985957,108.7878178,6.88639333,0.028911568,280284600,46.5598181277173,-0.217635931478219,42.1999638938422,6.76336033252548,36313.671877,51439.063376
"FSM",2000,NA,4.833903786,2894.64294,90.58883243,8.182514989,0.007464106,233271800,41.7410077000306,-0.0214342239396275,41.8095972166374,6.76336033252548,36313.671877,51439.063376
"FSM",2010,NA,2.259389956,3084.75391,105.8136531,7.235469572,0.027273282,296944100,22.8494184595687,-0.202058232509082,21.4754224785069,6.76336033252548,36313.671877,51439.063376
"FSM",1995,NA,7.014464845,2908.253799,91.49147039,6.857623571,0.015905843,221575300,0.230170059568914,NA,33.1941331005757,6.76336033252548,36313.671877,51439.063376
"FSM",2004,NA,-3.080153047,2948.723517,93.71763599,6.118858123,0.01652024,240236000,35.7356932349856,0.666011755107478,35.5358897084534,6.76336033252548,36313.671877,51439.063376
