"iso3","year","grant"
"KHM",2001,314.58
"KHM",1997,294.07
"KHM",2007,561.51
"KHM",2011,638.29
"KHM",2009,572.45
"KHM",1996,338.27
"KHM",1998,291.42
"KHM",2012,682.12
"KHM",2004,335.81
"KHM",1995,440.46
"KHM",2005,410.73
"KHM",2019,563.3
"KHM",2008,548
"KHM",2014,634.25
"KHM",2017,589.95
"KHM",2018,584.08
"KHM",2016,570.75
"KHM",2013,646.33
"KHM",2015,532.8
"CMR",2012,484.39
"CMR",2013,508.81
"CMR",2017,560.44
"CMR",2018,615.54
"CMR",2016,455.15
"CMR",2011,577.38
"CMR",2009,529.99
"CMR",2010,515.28
"CMR",2014,498.43
"CMR",2015,433.18
"CMR",1997,235.47
"CMR",1998,384.69
"CMR",2005,487.64
"CMR",2019,718.37
"CMR",2008,1033.93
"CMR",2007,2021.57
"CMR",2004,758.96
"CMR",1995,329.02
"CMR",1996,355.53
"CMR",1999,286.89
"CMR",2003,939.95
"CMR",2006,3296.86
"CMR",2002,520.96
"CMR",2001,414.15
"CMR",2000,326.78
"CYM",1995,0.35
"CYM",1996,0.24
"CAF",2006,192.38
"CAF",2005,99.69
"CAF",2003,58.37
"CAF",1995,155.67
"CAF",2002,66.62
"CAF",2000,77.96
"CAF",2004,118.63
"CAF",2017,451.13
"CAF",2016,454.54
"CAF",2007,187.01
"CAF",2019,715.92
"CAF",2014,576.28
"CAF",2018,509.81
"CAF",2001,79.56
"CAF",2010,255.63
"CAF",1996,163.02
"CAF",1997,99.87
"CAF",1998,129.2
"CAF",2013,210.78
"CAF",2015,467.15
"CAF",2008,254.83
"CAF",2009,371.35
"CAF",1999,118.47
"CAF",2012,221.15
"CAF",2011,271.51
"TCD",1999,101.6
"TCD",1998,134.07
"TCD",2010,492.95
"TCD",2001,137.8
"TCD",1996,178.32
"TCD",2002,143.13
"TCD",2000,93.62
"TCD",1997,153.66
"TCD",2019,580.43
"TCD",2018,571.75
"TCD",2017,472.06
"TCD",2003,167.94
"TCD",2005,315.84
"TCD",1995,182.62
"TCD",2013,499.16
"TCD",2012,500.32
"TCD",2004,269.63
"TCD",2009,571.64
"TCD",2016,474.69
"TCD",2011,478.34
"TCD",2008,487.04
"TCD",2007,360.23
"TCD",2015,1049.17
"TCD",2014,404.51
"TCD",2006,257.33
"CHL",2008,86.08
"CHL",1997,113.96
"CHL",1996,133.08
"CHL",1999,77.25
"CHL",1998,97.72
"CHL",2009,89.12
"CHL",2012,87.23
"CHL",2015,71.59
"CHL",2000,73.91
"CHL",2006,78.74
"CHL",2016,67.75
"CHL",2003,85.26
"CHL",2001,80.56
"CHL",2005,152.46
"CHL",2010,134.13
"CHL",2004,105.34
"CHL",2017,72.35
"CHL",2007,83.92
"CHL",1995,150.54
"CHL",2002,70.44
"CHL",2011,90.14
"CHL",2013,87.48
"CHL",2014,100.46
"CHN",2013,964.83
"CHN",2012,1127.55
"CHN",2011,1359.8
"CHN",2007,1480.76
"CHN",2017,694.58
"CHN",2015,735.75
"CHN",2008,1627.31
"CHN",2016,688.86
"CHN",2019,754.9
"CHN",2010,1442.95
"CHN",2006,1370.39
"CHN",2014,842.32
"CHN",2018,738.81
"CHN",1995,890.19
"CHN",2009,1437.98
"CHN",2003,1163.9
"CHN",1997,738.7
"CHN",2005,1229.47
"CHN",1996,792.79
"CHN",2000,863.48
"CHN",2004,1313.93
"CHN",2002,918.21
"CHN",1999,947.76
"CHN",2001,793.49
"CHN",1998,862.37
"COL",2010,562.73
"COL",2006,1023.74
"COL",2007,753.53
"COL",2005,716.18
"COL",2000,261.11
"COL",2009,1072.54
"COL",2016,756.2
"COL",2011,878.08
"COL",2017,828.6
"COL",2004,613.5
"COL",2008,994.86
"COL",2001,450.43
"COL",2014,707.65
"COL",2003,868.87
"COL",2002,509.74
"COL",1999,326.74
"COL",1996,169.04
"COL",2012,702.42
"COL",2013,683.08
"COL",2018,919.09
"COL",1995,171.06
"COL",1997,159.39
"COL",1998,176.53
"COL",2015,778.81
"COL",2019,1096.83
"COM",2012,109.09
"COM",2015,64.95
"COM",2008,44.27
"COM",1996,32.59
"COM",2010,70.91
"COM",1997,26.83
"COM",2014,77.72
"COM",2013,175.23
"COM",2017,67.61
"COM",1998,40.58
"COM",2016,55.52
"COM",2011,55.92
"COM",2009,52.55
"COM",1995,32.2
"COM",2006,33.42
"COM",2018,73.96
"COM",2000,19.69
"COM",2007,45.9
"COM",2019,96
"COM",2005,25.19
"COM",2004,26.41
"COM",2003,19.41
"COM",1999,25.87
"COM",2001,19.48
