"countries","iso3","year","tax_to_gdp"
"China, P.R.: Hong Kong","HKG",2010,13.5
"China, P.R.: Hong Kong","HKG",2011,14.2
"China, P.R.: Hong Kong","HKG",2012,13.7
"China, P.R.: Hong Kong","HKG",2013,13.4
"China, P.R.: Macao","MAC",2018,29.4
"China, P.R.: Macao","MAC",2019,29.7
"China, P.R.: Macao","MAC",2001,16.4
"China, P.R.: Macao","MAC",2002,17.2
"China, P.R.: Macao","MAC",2003,20
"China, P.R.: Macao","MAC",2004,21.3
"China, P.R.: Macao","MAC",2005,21
"China, P.R.: Macao","MAC",2006,21.1
"China, P.R.: Macao","MAC",2007,25.5
"China, P.R.: Macao","MAC",2008,30.2
"China, P.R.: Macao","MAC",2009,29.3
"China, P.R.: Macao","MAC",2010,34.4
"China, P.R.: Macao","MAC",2011,37.4
"China, P.R.: Macao","MAC",2012,36.8
"China, P.R.: Macao","MAC",2013,36.4
"China, P.R.: Macao","MAC",2014,35.1
"China, P.R.: Macao","MAC",2015,29.1
"China, P.R.: Macao","MAC",2016,27.8
"China, P.R.: Macao","MAC",2017,29
"China, P.R.: Mainland","CHN",2005,15.3
"China, P.R.: Mainland","CHN",2006,18.8
"China, P.R.: Mainland","CHN",2007,17.2
"China, P.R.: Mainland","CHN",2008,18.4
"China, P.R.: Mainland","CHN",2009,18.5
"China, P.R.: Mainland","CHN",2010,19.1
"China, P.R.: Mainland","CHN",2011,19.8
"China, P.R.: Mainland","CHN",2012,19.9
"China, P.R.: Mainland","CHN",2013,19.9
"China, P.R.: Mainland","CHN",2014,19.7
"China, P.R.: Mainland","CHN",2015,19.4
"China, P.R.: Mainland","CHN",2016,18.9
"China, P.R.: Mainland","CHN",2017,18.8
"China, P.R.: Mainland","CHN",2018,18.5
"Colombia","COL",2011,17.3
"Colombia","COL",2012,16.6
"Colombia","COL",2010,14.9
"Colombia","COL",2008,15.8
"Colombia","COL",2016,17.6
"Colombia","COL",2009,15.4
"Colombia","COL",2013,17.2
"Colombia","COL",1998,13.7
"Colombia","COL",2017,18.4
"Colombia","COL",2014,18.7
"Colombia","COL",2003,13.9
"Colombia","COL",2019,18.7
"Colombia","COL",2015,18.7
"Colombia","COL",2000,13.5
"Colombia","COL",1999,13.5
"Colombia","COL",2018,18.4
"Congo, Rep. of","COG",2003,8.2
"Congo, Rep. of","COG",2004,7.4
"Congo, Rep. of","COG",2005,5.9
"Congo, Rep. of","COG",2006,5.8
"Congo, Rep. of","COG",2007,6.5
"Congo, Rep. of","COG",2008,6.3
"Congo, Rep. of","COG",2009,8.5
"Congo, Rep. of","COG",2010,7.1
"Congo, Rep. of","COG",2011,8.4
"Congo, Rep. of","COG",2012,7.4
"Congo, Rep. of","COG",2013,8.9
"Congo, Rep. of","COG",2014,9.8
"Congo, Rep. of","COG",2017,11.5
"Congo, Rep. of","COG",2018,8
"Costa Rica","CRI",2012,13.7
"Costa Rica","CRI",2016,14.2
"Costa Rica","CRI",2013,14.1
"Costa Rica","CRI",2019,14.2
"Costa Rica","CRI",2004,13.8
"Costa Rica","CRI",2003,14
"Costa Rica","CRI",2010,13.5
"Costa Rica","CRI",2017,14
"Costa Rica","CRI",2018,13.9
"Costa Rica","CRI",2011,13.8
"Costa Rica","CRI",2008,15.8
"Costa Rica","CRI",2006,14.4
"Costa Rica","CRI",2015,14
"Costa Rica","CRI",2014,13.7
"Costa Rica","CRI",2009,13.8
"Costa Rica","CRI",2007,15.4
"Costa Rica","CRI",2005,14.1
"Costa Rica","CRI",2002,13.8
"Côte d'Ivoire","CIV",2018,11.9
"Côte d'Ivoire","CIV",2019,12.1
"Croatia, Rep. of","HRV",2000,25.8
"Croatia, Rep. of","HRV",2001,24.9
"Croatia, Rep. of","HRV",2002,25.8
"Croatia, Rep. of","HRV",2003,25.3
"Croatia, Rep. of","HRV",2004,24.6
"Croatia, Rep. of","HRV",2005,24.6
"Croatia, Rep. of","HRV",2006,25.2
"Croatia, Rep. of","HRV",2007,25.3
"Croatia, Rep. of","HRV",2008,25.2
"Croatia, Rep. of","HRV",2009,24.4
"Croatia, Rep. of","HRV",2010,24.1
"Croatia, Rep. of","HRV",2011,23.5
"Croatia, Rep. of","HRV",2012,24.4
"Croatia, Rep. of","HRV",2013,25.3
"Croatia, Rep. of","HRV",2014,24.8
"Croatia, Rep. of","HRV",2015,25.2
"Croatia, Rep. of","HRV",2016,25.8
"Croatia, Rep. of","HRV",2017,25.8
"Croatia, Rep. of","HRV",1996,26.4
"Croatia, Rep. of","HRV",1997,25.4
"Croatia, Rep. of","HRV",1998,27.7
"Croatia, Rep. of","HRV",1999,26.6
"Croatia, Rep. of","HRV",1995,26
"Croatia, Rep. of","HRV",2018,26.5
"Croatia, Rep. of","HRV",2019,27
"Cyprus","CYP",2005,23.6
"Cyprus","CYP",2010,23.6
"Cyprus","CYP",2004,22.3
"Cyprus","CYP",2009,23.7
"Cyprus","CYP",2008,27.4
"Cyprus","CYP",2019,25
"Cyprus","CYP",1995,18.8
"Cyprus","CYP",2011,23.7
"Cyprus","CYP",2017,24.5
"Cyprus","CYP",2015,24.7
"Cyprus","CYP",2006,24.8
"Cyprus","CYP",2018,25
"Cyprus","CYP",2002,21.8
"Cyprus","CYP",2003,22.4
"Cyprus","CYP",2016,24
"Cyprus","CYP",2014,25.3
"Cyprus","CYP",1997,17.6
"Cyprus","CYP",2012,23.8
"Cyprus","CYP",2007,28.9
